category,title,creator,publication_year,description
album,Can't Buy a Thrill,Steely Dan,1972,
album,Countdown to Ecstasy,Steely Dan,1973,
album,Pretzel Logic,Steely Dan,1974,
album,Katy Lied,Steely Dan,1975,
album,The Royal Scam,Steely Dan,1976,
album,Aja,Steely Dan,1977,
album,Gaucho,Steely Dan,1980,
album,Silence Yourself,Savages,2013,
album,Adore Life,Savages,2016,
album,NVM,Tacocat,2014,
album,Lost Time,Tacocat,2016,
album,No Regrets,Chastity Belt,2013,
album,Time to Go Home,Chastity Belt,2015,
album,Sleater-Kinney,Sleater-Kinney,1995,
album,Call the Doctor,Sleater-Kinney,1996,
album,Dig Me Out,Sleater-Kinney,1997,
album,The Hot Rock,Sleater-Kinney,1999,
album,All Hands on the Bad One,Sleater-Kinney,2000,
album,One Beat,Sleater-Kinney,2002,
album,The Woods,Sleater-Kinney,2005,
album,No Cities to Love,Sleater-Kinney,2015,
book,Hidden Figures,Margot Lee Shetterly,2016,Good book that came before the movie
book,Kindred,Octavia E. Butler,1979,Good sci-fi book
book,Parable of the Sower,Octavia E. Butler,1993,
book,A Wizard of Earthsea,Ursula K. Leguin,1968,
book,Man of Jasmine,Unica Zürn,1971
book,The Hearing Trumpet,Leonora Carrington,1976
book,Nasa/Trek,Constance Penley,1997
book,The Bloody Chamber,Angela Carter,1979
book,I'll Be Gone in the Dark,Michelle McNamara,2018
book,Halfway Heaven,Melanie Thernstrom,1997
book,Mama Day,Gloria Naylor,1988
book,Where Late the Sweet Birds Sang,1976
book,Duplex,Kathryn Davis,2013
movie,Daisies,Věra Chytilová,1966
movie,Mothlight,Stan Brakhage,1963
movie,Yakuza Apocalypse,Takashi Miike,2015
movie,The Unbelievable Truth,Hal Hartley,1989
movie,Heavenly Creatures,Peter Jackson,1994
movie,The Million Dollar Hotel,Wim Wenders,2000
movie,The Color of Fear,Lee Mun Wah,1994
movie,The Gleaners and I,Agnès Varda,2000
movie,Road Scholar,Roger Weisberg,1993
movie,Heaven,Diane Keaton,1987
movie,Suspiria,Dario Argento,1977
movie,Orlando,Sally Potter,1993
movie,Wanda,Barbara Loden,1970
movie,His Girl Friday,Howard Hawks,1940
movie,The Mafu Cage,Karen Arthur,1978
movie,Goonies,Steven Speilberg,1985
movie,Real Genius,Martha Coolidge,1985
movie,Dreams,Akira Kurosawa,1990
movie,My Dinner with Andre,Louis Malle,1981
